--- Headless Training Worker ---
Loading config: runs/bg_sweep_20260223_233248.pkl
Found 1 jobs to run.
Output directory: runs

[Job 1/1] simple_cnn | image_only | self-supervised
[simple_cnn | image_only | self-supervised] Starting standard job: simple_cnn | image_only | self-supervised
[simple_cnn | image_only | self-supervised] [ep 1/100] Train SSL Loss=5.3676 Val SSL Loss=5.0986
[simple_cnn | image_only | self-supervised] [ep 2/100] Train SSL Loss=5.1311 Val SSL Loss=5.0737
[simple_cnn | image_only | self-supervised] [ep 3/100] Train SSL Loss=5.0990 Val SSL Loss=5.0474
[simple_cnn | image_only | self-supervised] [ep 4/100] Train SSL Loss=5.0796 Val SSL Loss=5.0453
[simple_cnn | image_only | self-supervised] [ep 5/100] Train SSL Loss=5.0683 Val SSL Loss=5.0432
[simple_cnn | image_only | self-supervised] [ep 6/100] Train SSL Loss=5.0612 Val SSL Loss=5.0366
[simple_cnn | image_only | self-supervised] [ep 7/100] Train SSL Loss=5.0644 Val SSL Loss=5.0423
[simple_cnn | image_only | self-supervised] [ep 8/100] Train SSL Loss=5.0857 Val SSL Loss=5.0408
[simple_cnn | image_only | self-supervised] [ep 9/100] Train SSL Loss=5.0616 Val SSL Loss=5.0337
[simple_cnn | image_only | self-supervised] [ep 10/100] Train SSL Loss=5.0704 Val SSL Loss=5.0391
[simple_cnn | image_only | self-supervised] [ep 11/100] Train SSL Loss=5.0606 Val SSL Loss=5.0354
[simple_cnn | image_only | self-supervised] [ep 12/100] Train SSL Loss=5.0617 Val SSL Loss=5.0319
[simple_cnn | image_only | self-supervised] [ep 13/100] Train SSL Loss=5.0586 Val SSL Loss=5.0330
[simple_cnn | image_only | self-supervised] [ep 14/100] Train SSL Loss=5.0706 Val SSL Loss=5.0352
[simple_cnn | image_only | self-supervised] [ep 15/100] Train SSL Loss=5.0671 Val SSL Loss=5.0323
[simple_cnn | image_only | self-supervised] [ep 16/100] Train SSL Loss=5.0745 Val SSL Loss=5.0400
[simple_cnn | image_only | self-supervised] [ep 17/100] Train SSL Loss=5.0619 Val SSL Loss=5.0653
[simple_cnn | image_only | self-supervised] [ep 18/100] Train SSL Loss=5.0648 Val SSL Loss=5.0333
